train_loss,train_acc,val_loss,val_acc,learning_rates
0.6104289567576046,0.6686430758856994,0.52608732416712,0.7408231368186874,9.990232305719945e-05
0.49879413342053913,0.7711009704429341,0.48386348732586565,0.7808676307007787,9.960967771506666e-05
0.4909295506973182,0.7714535939939734,0.4707426511008164,0.7730812013348165,9.912321891107009e-05
0.4240394878176461,0.8208811858944196,0.4493643430800274,0.7875417130144605,9.844486647586723e-05
0.4147770019759119,0.825745808976304,0.4390578465215091,0.8086763070077865,9.757729755661011e-05
0.4042606291781485,0.8315914667607659,0.42638678900126753,0.8053392658509455,9.652393605146844e-05
0.3952445435312997,0.8386449566060068,0.4242134217558236,0.8097886540600667,9.528893909706797e-05
0.3850484324899395,0.8458358378210504,0.37778590465414114,0.8442714126807565,9.387718066217124e-05
0.36965659260749817,0.8554077504783765,0.39252404508919553,0.8298109010011123,9.229423231234974e-05
0.37954867571856066,0.8423521116773509,0.37342261497316687,0.8531701890989989,9.054634122155989e-05
0.326997841156162,0.8752850041427978,0.37152365363877393,0.8453837597330367,8.864040551740155e-05
0.33179262049693975,0.8698591468004955,0.39426089617712745,0.8387096774193549,8.658394705735986e-05
0.33241440546987333,0.8696758979820663,0.37634009636681653,0.8420467185761957,8.438508174347008e-05
0.31130567371054035,0.8823003737016828,0.359390871792004,0.8464961067853171,8.205248749256013e-05
0.32958587252460747,0.8681094477464585,0.3799791253846267,0.8487208008898777,7.959536998847742e-05
0.30979409843551375,0.8802710376032262,0.37413453490569676,0.8442714126807565,7.702342635146032e-05
0.30551832983583477,0.8776969997111025,0.3724630778205806,0.8453837597330367,7.434680686803489e-05
0.3075957766082962,0.8742014306213861,0.39576578808241875,0.8298109010011123,7.157607493247108e-05
0.3266808051879691,0.8726634504838631,0.385310553271195,0.8342602892102335,6.872216535789155e-05
0.2752347214856243,0.8999408097753532,0.3720763371936206,0.8442714126807565,6.579634122155988e-05
0.27951895575805574,0.8934865603316808,0.3664182861303461,0.8576195773081201,6.28101494146603e-05
0.26339593587393784,0.9013804710709421,0.37994139410298444,0.8420467185761957,5.9775375071993364e-05
0.2985442844178297,0.8850259809728498,0.3833754489134098,0.8464961067853171,5.670399506143306e-05
0.3104902502413081,0.8817558671473936,0.38467650526556474,0.8320355951056729,5.3608130716701005e-05
