train_loss,train_acc,val_loss,val_acc,learning_rates
0.5802196375036661,0.6993318485523385,0.48638101795624045,0.7697441601779755,9.990232305719945e-05
0.45163061001659494,0.7931514476614699,0.4339385197080415,0.8209121245828699,9.960967771506666e-05
0.3785930961634206,0.8349109131403119,0.429166526630007,0.8253615127919911,9.912321891107009e-05
0.3019895569413109,0.8716592427616926,0.42129037092471944,0.8309232480533927,9.844486647586723e-05
0.258771353986411,0.890033407572383,0.45857353662622385,0.8253615127919911,9.757729755661011e-05
0.2205915400939705,0.9134187082405345,0.47838446754833747,0.8186874304783093,9.652393605146844e-05
0.1776197284328199,0.9317928730512249,0.5217398852109909,0.8320355951056729,9.528893909706797e-05
0.14362218296897095,0.9434855233853007,0.49041816027000035,0.8420467185761957,9.387718066217124e-05
0.1286325521223181,0.9515590200445434,0.49560854198603793,0.8431590656284761,9.229423231234974e-05
0.12080150938271421,0.9532293986636972,0.5147283169729956,0.8498331479421579,9.054634122155989e-05
0.09916663391565063,0.9632516703786191,0.50556697799214,0.8431590656284761,8.864040551740155e-05
0.07981846705738423,0.9716035634743875,0.5496338405485811,0.8364849833147943,8.658394705735986e-05
0.08907965687721704,0.9682628062360802,0.5898574123094822,0.8487208008898777,8.438508174347008e-05
0.08804368190220103,0.9652004454342984,0.5628596444068283,0.8598442714126807,8.205248749256013e-05
