model,n_seeds,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,eo_gap_mean,eo_gap_std,tpr_dark_mean,tpr_dark_std
baseline,5,0.6220690902514017,0.010430238451849134,0.6593645626092723,0.019247134278681046,0.34243197278911564,0.052943217591620545,0.4208333333333333,0.040397332145136085
mixup,5,0.6081268463254356,0.0160147497496403,0.6367275577259299,0.013950637374141213,0.3299319727891156,0.0855933981779702,0.4333333333333334,0.07264831572567788
reweighted,5,0.6204871284741064,0.012609235872015378,0.6590245372882378,0.017947629682602696,0.3382653061224489,0.04128889554774721,0.425,0.03864007706456544
focalloss,5,0.6181105685175138,0.011799689825440782,0.6516790257430518,0.009647353268680386,0.35527210884353744,0.06035773945800913,0.3916666666666667,0.04448782605013047
proposed,5,0.6034629529149335,0.014345981252528112,0.637241212998131,0.015763748140962486,0.2545045045045045,0.06281786694295344,0.4833333333333333,0.03584302194601093
