train_loss,train_acc,val_loss,val_acc,learning_rates
0.14662350621898618,0.6937639198218263,0.12752327862484703,0.764182424916574,9.990232305719945e-05
0.12096328074030116,0.7856347438752784,0.11695423542425551,0.796440489432703,9.960967771506666e-05
0.10288523717791634,0.8240534521158129,0.11325941350439499,0.8164627363737486,9.912321891107009e-05
0.08515930617541338,0.8635857461024499,0.11290613638943639,0.8320355951056729,9.844486647586723e-05
0.07391079511922018,0.8827951002227171,0.12194739294977024,0.8309232480533927,9.757729755661011e-05
0.06510060285506523,0.905902004454343,0.12671791235434599,0.8209121245828699,9.652393605146844e-05
0.05250459830317877,0.9253897550111359,0.13930691341901646,0.8353726362625139,9.528893909706797e-05
0.04394107602075138,0.9340200445434298,0.14246691724863544,0.8453837597330367,9.387718066217124e-05
0.03611289442772359,0.9459910913140311,0.14891743274598285,0.8453837597330367,9.229423231234974e-05
0.037480876200000006,0.9451559020044543,0.14501463005255008,0.8431590656284761,9.054634122155989e-05
0.029769876522663156,0.9571269487750557,0.14534426043773518,0.8442714126807565,8.864040551740155e-05
0.025851215285339714,0.9629732739420935,0.16575009362964793,0.8320355951056729,8.658394705735986e-05
0.027889263276340424,0.9652004454342984,0.16997359847200327,0.8542825361512792,8.438508174347008e-05
0.029272463683665328,0.9618596881959911,0.15137492017499332,0.8420467185761957,8.205248749256013e-05
