Model,Balanced Accuracy,Balanced Accuracy Std,ROC-AUC,ROC-AUC Std,F1 Macro,F1 Macro Std,EO Gap,EO Gap Std,Equalized Odds Gap,Equalized Odds Gap Std,F1 Gap,F1 Gap Std,TPR Light,TPR Light Std,TPR Medium,TPR Medium Std,TPR Dark,TPR Dark Std
Baseline,0.8271598828001268,0.00940865536902119,0.9097937123851758,0.010200546404814714,0.8267604366013525,0.009643578744011116,0.0918461067455863,0.004898459026431323,0.09474655828795567,0.00199800748406196,0.04487291310150088,0.0028627050135542342,0.799163179916318,0.029288702928870314,0.7847682119205298,0.01655629139072845,0.7073170731707317,0.02439024390243899
Mixup,0.8560700922553056,0.009471759185936013,0.924955951061134,0.006753345739626215,0.8557952615096024,0.009417954605979717,0.10046842190276206,0.00888386367307381,0.10046842190276206,0.00888386367307381,0.06994334440167349,8.03307030433631e-05,0.8158995815899581,0.00836820083682005,0.8443708609271523,0.0033112582781457123,0.7439024390243902,0.012195121951219523
Reweighted,0.8260586593284764,0.007176512511878341,0.909895173424137,0.00989616328793158,0.8255908432214908,0.007466005347391058,0.08347790590876619,0.000714358608021215,0.08347790590876619,0.000714358608021215,0.04198390662364643,0.004158847521991638,0.7907949790794979,0.025104602510460206,0.7847682119205298,0.023178807947019875,0.7073170731707317,0.02439024390243899
Focal Loss,0.8265832871396896,0.007760532150776045,0.906640996198923,0.009477945834653223,0.8263029702593754,0.007875249376401106,0.08456938098157069,0.00380698395362683,0.08456938098157069,0.00380698395362683,0.03682196653283387,0.0029236614480881995,0.7970711297071129,0.023012552301255262,0.8013245033112584,0.013245033112582794,0.7195121951219512,0.012195121951219523
Proposed,0.8626959930313588,0.005026033417801723,0.9302343997465948,0.003934708584098834,0.8625748200375205,0.004976562439262866,0.07135070547136518,0.002466125412175446,0.07135070547136518,0.002466125412175446,0.05592976712344233,0.004103487449061416,0.8451882845188285,0.004184100418410053,0.8509933774834437,0.0033112582781457123,0.7804878048780488,0.0
