Model,Balanced Accuracy,Balanced Accuracy Std,ROC-AUC,ROC-AUC Std,Worst-Group TPR,Worst-Group TPR Std,TPR Dark,TPR Dark Std,EO Gap,EO Gap Std,TPR Light,TPR Light Std,TPR Medium,TPR Medium Std
Baseline,0.8301472917326576,0.014508938186425095,0.9046137551472917,0.008499251263588591,0.7365853658536585,0.04729443763333003,0.7365853658536585,0.04729443763333003,0.08725569374899049,0.03301582595238883,0.7841004184100419,0.04138665445649622,0.8238410596026491,0.023914529914261958
Mixup,0.8574838652201457,0.004828400807907134,0.9224679284130504,0.0023475103549420837,0.7789832588674747,0.025696753333968106,0.7951219512195122,0.04779492181040348,0.07071555483766759,0.03903112817828513,0.8234309623430963,0.01307154757473914,0.8463576158940397,0.027909016563848334
Reweighted,0.8299300166297117,0.014055415191672542,0.9048899271460247,0.008429531176688489,0.7317073170731707,0.05116140722781225,0.7317073170731707,0.05116140722781225,0.08948473590696174,0.031222705088208905,0.7832635983263598,0.0387475712227288,0.8211920529801325,0.029616794403970716
Focal Loss,0.8225817627494457,0.01269765921718647,0.9037901884700664,0.007988177518189307,0.7073170731707317,0.08588691152028784,0.7073170731707317,0.08588691152028784,0.10857696656436762,0.06649011927672381,0.7815899581589958,0.026778242677824256,0.8158940397350994,0.023093504336639335
Proposed,0.8616774231865696,0.008139982971479939,0.9254434589800443,0.003437386652783606,0.80471476681294,0.03072386802096587,0.8048780487804879,0.03085148936749636,0.07475543186255655,0.02579932372476074,0.8284518828451883,0.023668846232185705,0.8794701986754966,0.006488714550419007
